date,lo95,up95,risk,fit
1900,4.510347575,7.957638106,4.369084817,6.23399284
1901,4.742390037,7.646380768,5.678601184,6.194385403
1902,4.928621423,7.379671059,8.240431051,6.154146241
1903,5.063740431,7.162080839,8.599257251,6.112910635
1904,5.144167872,6.996459855,4.594679447,6.070313863
1905,5.171333289,6.880649119,5.853914267,6.025991204
1906,5.153224835,6.803003201,7.150090084,5.978114018
1907,5.103458426,6.749076581,5.34434922,5.926267503
1908,5.035644262,6.70877113,4.096459106,5.872207696
1909,4.960429746,6.674951515,4.465357114,5.81769063
1910,4.885846178,6.64309851,11.13771621,5.764472344
1911,4.818101739,6.610516004,3.769656442,5.714308872
1912,4.779861981,6.570215907,3.915762195,5.675038944
1913,4.769439251,6.529647327,5.212146133,5.649543289
1914,4.756112571,6.508169306,4.700976455,5.632140939
1915,4.72285953,6.511442321,8.767213168,5.617150926
1916,4.674372163,6.5234124,4.638492654,5.598892282
1917,4.630673572,6.512694506,4.460237077,5.571684039
1918,4.601103994,6.443396789,5.02981245,5.522250392
1919,4.558345106,6.344285536,6.285235314,5.451315321
1920,4.481227328,6.267167758,5.585524689,5.374197543
1921,4.385069375,6.22736217,5.977893707,5.306215772
1922,4.321678258,6.203699192,6.414734728,5.262688725
1923,4.316832328,6.159575627,5.039824756,5.238203978
1924,4.33214392,6.105009649,4.614094061,5.218576784
1925,4.336085377,6.075849374,4.282345478,5.205967375
1926,4.316103116,6.088968846,4.502737258,5.202535981
1927,4.289071181,6.13181448,5.368266917,5.210442831
1928,4.290837688,6.172858622,6.216642534,5.231848155
1929,4.354994168,6.197737466,4.223378206,5.276365817
1930,4.459237128,6.232102857,4.232381935,5.345669992
1931,4.560129385,6.299893382,5.031880125,5.430011384
1932,4.633207827,6.406073557,6.938737349,5.519640692
1933,4.68343697,6.526180268,4.013265207,5.604808619
1934,4.7347554,6.616776334,9.904242936,5.675765867
1935,4.819917001,6.6626603,6.030394897,5.74128865
1936,4.925011454,6.697877183,4.383490433,5.811444319
1937,5.008538278,6.748302274,5.720335154,5.878420276
1938,5.047971063,6.820836792,5.52564267,5.934403927
1939,5.050211027,6.892954325,4.270021401,5.971582676
1940,5.04113346,6.923154393,6.015086794,5.982143927
1941,5.045507938,6.887800733,7.294271541,5.966654336
1942,5.041154854,6.827095284,5.230795864,5.934125069
1943,4.996440079,6.782380509,6.341525348,5.889410294
1944,4.916217781,6.758510576,4.182004835,5.837364178
1945,4.841830423,6.723851357,11.23129613,5.78284089
1946,4.78203981,6.624783109,3.428917052,5.703411459
1947,4.700059083,6.472924813,4.83855989,5.586491948
1948,4.581822071,6.321586067,4.947034999,5.451704069
1949,4.432236669,6.205102399,5.05047488,5.318669534
1950,4.285638407,6.128381706,6.5514071,5.207010057
1951,4.195336883,6.077357816,5.087101063,5.136347349
1952,4.195319481,6.03806278,4.355035483,5.116691131
1953,4.248120584,6.020986313,5.195385046,5.134553448
1954,4.30442751,6.044191507,5.500064356,5.174309508
1955,4.333901652,6.106767381,4.016136496,5.220334517
1956,4.335632029,6.178375328,4.054527178,5.257003679
1957,4.327681734,6.209702667,4.5662168,5.2686922
1958,4.342266654,6.185009952,7.526984824,5.263638303
1959,4.373369411,6.146235141,5.567188398,5.259802276
1960,4.386260431,6.126024427,4.86792328,5.256142429
1961,4.365184207,6.138049937,5.432803819,5.251617072
1962,4.323812864,6.166556163,7.319829364,5.245184514
1963,4.294792596,6.17681353,4.986947146,5.235803063
1964,4.278784504,6.121077299,4.798880862,5.199930902
1965,4.236716704,6.022657134,4.981750352,5.129686919
1966,4.154550272,5.940490702,3.755530168,5.047520487
1967,4.054734583,5.897027378,4.025341731,4.975880981
1968,3.996207304,5.878228238,4.031606559,4.937217771
1969,4.021551564,5.864294862,6.554856539,4.942923213
1970,4.094890249,5.867755978,5.365929283,4.981323114
1971,4.170385028,5.910149025,5.315661599,5.040267027
1972,4.221171641,5.99403737,5.637922977,5.107604506
1973,4.249813455,6.092556753,5.369792467,5.171185104
1974,4.277847909,6.159868843,4.403314861,5.218858376
1975,4.33863017,6.18740939,4.085563605,5.26301978
1976,4.417805111,6.21427738,4.929013794,5.316041245
1977,4.476850713,6.254623349,4.861407629,5.365737031
1978,4.503439592,6.296403199,6.48635973,5.399921395
1979,4.510201464,6.302615729,5.865469855,5.406408597
1980,4.51157664,6.268828972,7.235942937,5.390202806
1981,4.506162866,6.220684635,4.43343049,5.363423751
1982,4.487995586,6.161122453,4.279408468,5.32455902
1983,4.449287127,6.094905281,6.145079528,5.272096204
1984,4.37963371,6.029412076,5.77245912,5.204522893
1985,4.265668764,5.974984594,4.527290598,5.120326679
1986,4.093197276,5.945489259,3.495400457,5.019343268
1987,3.85352262,5.951863028,6.35366818,4.902692824
1988,3.545264802,5.996314438,5.379623613,4.77078962
1989,3.172052561,6.076043292,4.284290926,4.624047926
1990,2.739236751,6.186527282,4.10652747,4.462882016
