date,graph0,graph1,graph2,graph3,graph4,graph5,graph6,graph7,graph8,graph9,graph10,graph11,graph12,graph13,graph14,graph15
1900,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284,6.23399284
1901,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403,6.194385403
1902,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241,6.154146241
1903,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635,6.112910635
1904,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863,6.070313863
1905,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204,6.025991204
1906,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018,5.978114018
1907,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503,5.926267503
1908,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696,5.872207696
1909,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063,5.81769063
1910,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344,5.764472344
1911,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872,5.714308872
1912,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944,5.675038944
1913,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289,5.649543289
