date,graph0,graph1,graph2,graph3,graph4,graph5,graph6,graph7,graph8,graph9,graph10,graph11,graph12,graph13,graph14,graph15
1900,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282,6.186527282
1901,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292,6.076043292
1902,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438,5.996314438
1903,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028,5.951863028
1904,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259,5.945489259
1905,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594,5.974984594
1906,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076,6.029412076
1907,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281,6.094905281
1908,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453,6.161122453
1909,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635,6.220684635
1910,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972,6.268828972
1911,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729,6.302615729
1912,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199,6.296403199
1913,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349,6.254623349
1914,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738,6.21427738
1915,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939,6.18740939
1916,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843,6.159868843
1917,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753,6.092556753
1918,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737,5.99403737
