date,graph0,graph1,graph2,graph3,graph4,graph5,graph6,graph7,graph8,graph9,graph10,graph11,graph12,graph13,graph14,graph15
1900,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747,4.10652747
1901,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926,4.284290926
1902,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613,5.379623613
1903,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818,6.35366818
1904,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457,3.495400457
1905,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598,4.527290598
1906,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912,5.77245912
1907,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528,6.145079528
1908,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468,4.279408468
1909,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049,4.43343049
1910,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937,7.235942937
1911,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855,5.865469855
1912,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973,6.48635973
1913,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629,4.861407629
1914,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794,4.929013794
1915,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605,4.085563605
1916,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861,4.403314861
1917,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467,5.369792467
1918,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977,5.637922977
1919,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599,5.315661599
1920,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283,5.365929283
1921,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539,6.554856539
1922,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559,4.031606559
1923,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731,4.025341731
1924,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168,3.755530168
